CityName,province,cityE
上海市,Shanghai,Shanghai
丽江市,Yunnan,Lijiang
保山市,Yunnan,Baoshan
大理市,Yunnan,Dali
文山市,Yunnan,Wenshan
昆明市,Yunnan,Kunming
昭通市,Yunnan,Zhaotong
普洱市,Yunnan,Puer
景洪市,Yunnan,Jinghong
曲靖市,Yunnan,Qujing
玉溪市,Yunnan,Yuxi
乌兰察布市,Neimenggu,Wulanchabu
乌兰浩特市,Neimenggu,Ulanhot
乌海市,Neimenggu,Wuhai
包头市,Neimenggu,Baotou
呼伦贝尔市,Neimenggu,Hulunbeir
呼和浩特市,Neimenggu,Hohhot
巴彦淖尔市,Neimenggu,Bayannur
赤峰市,Neimenggu,Chifeng
通辽市,Neimenggu,Tongliao
鄂尔多斯市,Neimenggu,Ordos
北京市,Beijing,Beijing
吉林市,Jilin,Jilin
四平市,Jilin,Siping
延吉市,Jilin,Yanji
松原市,Jilin,Songyuan
白山市,Jilin,Baishan
辽源市,Jilin,Liaoyuan
通化市,Jilin,Tonghua
长春市,Jilin,Changchun
乐山市,Sichuan,Leshan
内江市,Sichuan,Neijiang
南充市,Sichuan,Nanchong
宜宾市,Sichuan,Yibin
巴中市,Sichuan,Bazhong
广元市,Sichuan,Guangyuan
广安市,Sichuan,Guangan
德阳市,Sichuan,Deyang
成都市,Sichuan,Chengdu
攀枝花市,Sichuan,Panzhihua
泸州市,Sichuan,Luzhou
眉山市,Sichuan,Meishan
绵阳市,Sichuan,Mianyang
自贡市,Sichuan,Zigong
西昌市,Sichuan,Xichang
资阳市,Sichuan,Ziyang
达州市,Sichuan,Dazhou
遂宁市,Sichuan,Suining
雅安市,Sichuan,Yaan
天津市,Tianjin,Tianjin
银川市,Ningxia,Yinchuan
亳州市,Anhui,Bozhou
六安市,Anhui,Liuan
合肥市,Anhui,Hefei
安庆市,Anhui,Anqing
宣城市,Anhui,Xuancheng
宿州市,Anhui,Suzhou
池州市,Anhui,Chizhou
淮北市,Anhui,Huaibei
淮南市,Anhui,Huainan
滁州市,Anhui,Chuzhou
芜湖市,Anhui,Wuhu
蚌埠市,Anhui,Bengbu
铜陵市,Anhui,Tongling
阜阳市,Anhui,Fuyang
马鞍山市,Anhui,Maanshan
