province,grp
Beijing,41610.9
Shanghai,44652.8
Jiangsu,122875.6
Fujian,53109.9
Tianjin,16311.3
Zhejiang,77715.4
Guangdong,129118.6
InnerMongolia,23158.6
Hubei,53734.9
Chongqing,29129.0
Shandong,87435.1
Shaanxi,32772.7
Shanxi,25642.6
Anhui,45045.0
Hunan,48670.4
Jiangxi,32074.7
Ningxia,5069.6
Liaoning,28975.1
Xinjiang,17741.3
Sichuan,56749.8
Hainan,6818.2
Henan,61345.1
Yunnan,28954.2
Qinghai,3610.1
Tibet,2132.6
Hebei,42370.4
Jilin,13070.2
Guizhou,20164.6
Guangxi,26300.9
Heilongjiang,15901.0
Gansu,11201.6
