StoreName,CityName,Street Address,Longitude,Latitude,province,cityE
北京西站第一咖啡店,北京市,"丰台区, 北京西站通廊7-1号, 中关村南大街2号",116.32,39.9,Beijing,Beijing
北京华宇时尚店,北京市,"海淀区, 数码大厦B座华宇时尚购物中心内, 蓝色港湾国际商区1座C1-3单元首层、",116.32,39.97,Beijing,Beijing
北京蓝色港湾圣拉娜店,北京市,"朝阳区朝阳公园路6号, 二层C1-3单元及二层阳台, 太阳宫中路12号",116.47,39.95,Beijing,Beijing
北京太阳宫凯德嘉茂店,北京市,"朝阳区, 太阳宫凯德嘉茂一层01-44/45号, 东三环北路27号",116.45,39.97,Beijing,Beijing
北京东三环北店,北京市,"朝阳区, 嘉铭中心大厦A座B1层024商铺, 金融大街7号",116.46,39.93,Beijing,Beijing
北京英蓝国际店,北京市,"西城区, 英蓝国际金融中心首层F111-F112单元, 建国门内大街18号",116.36,39.92,Beijing,Beijing
北京建国门内大街店,北京市,"东城区, 恒基中心一层039单元, 北清路1号院1号楼",116.43,39.91,Beijing,Beijing
北京北清路永旺商城店,北京市,"昌平区, 永旺国际商城购物中心1层NO.120区域, 建内大街19号",116.29,40.1,Beijing,Beijing
北京新闻大厦店,北京市,"东城区, 新闻大厦1层, 酒仙桥路12号",116.42,39.91,Beijing,Beijing
北京酒仙桥路咖啡店,北京市,"朝阳区, 乐天玛特超市1层LJ02-50单元, 建国门外大街丙12号",116.49,39.98,Beijing,Beijing
北京宝钢大厦店,北京市,"朝阳区, 宝钢大厦1层, 惠新东街钱柜一层",116.45,39.91,Beijing,Beijing
北京惠新东街咖啡店,北京市,"惠新东街4号, 广渠家园3号楼1层",116.42,39.99,Beijing,Beijing
北京广渠门名敦道店,北京市,"东城区, 新中街瑞士公寓1、2层L103&L202A",116.45,39.89,Beijing,Beijing
北京新中街瑞士公寓店,北京市,"东城区, 西单北大街176号",116.44,39.93,Beijing,Beijing
北京西单汉光百货商场店,北京市,"西城区, 光百货一层101商铺, 西小口路66号",116.38,39.91,Beijing,Beijing
北京西小口路店,北京市,"海淀区, 中关村东升科技园B区6号楼C座一层101, 九棵树西路80号",116.36,40.05,Beijing,Beijing
北京通州九棵树西路店,北京市,"通州区, 北京通州阳光新生活广场一层8-A单元, 复兴路69号",116.66,39.89,Beijing,Beijing
北京五棵松第二咖啡店,北京市,"海淀区, 3号楼5层（05）502-5C015单元, 首都国际机场2号航站楼国际隔离区内",116.28,39.91,Beijing,Beijing
北京首都国际机场3店,北京市,"顺义区, 丰科路6号院",116.6,40.08,Beijing,Beijing
丰科路万达广场店,北京市,"北京市, 第一层1056号和1057号商铺, 阜通东大街",116.3,39.82,Beijing,Beijing
北京阜通东大街二店,北京市,"朝阳区, 1号院6号楼1层2112, 北四环东路73号",116.48,40.0,Beijing,Beijing
北京北四环东路咖啡店,北京市,"朝阳区, 远洋未来广场一层31单元, 东方东路19号",116.43,39.99,Beijing,Beijing
北京东方东路二店,北京市,"朝阳区, 外交办公大楼1层F110&2层F213, 复兴路29号",116.46,39.95,Beijing,Beijing
北京翠微广场店,北京市,"海淀区, 翠微广场购物中心地上一层110号商铺, 南锣鼓巷20号",116.31,39.91,Beijing,Beijing
北京南锣鼓巷咖啡店,北京市,"东城区, 亦庄经济技术开发区",116.4,39.94,Beijing,Beijing
北京同济南路店,北京市,"大兴区, 同济南路1号院, 王府井大街253号",116.53,39.78,Beijing,Beijing
北京王府井店,北京市,"东城区, 王府井百货大楼首层, 崇文门外大街40号",116.41,39.91,Beijing,Beijing
北京崇文门外第二咖啡店,北京市,"东城区, 搜秀城一层, 东三环北路甲19 号",116.42,39.9,Beijing,Beijing
北京嘉盛SOHO中心店,北京市,"朝阳区, 嘉盛中心首层西侧大堂, 西大望路1号",116.46,39.93,Beijing,Beijing
北京西大望路温特莱店,北京市,"朝阳区, 温特莱中心一层, 首都国际机场1号航站楼",116.48,39.91,Beijing,Beijing
北京首都国际机场1店,北京市,"顺义区, 一层公共区东侧, 王府井大街138号",116.59,40.08,Beijing,Beijing
北京新东安店,北京市,"东城区, 新东安广场地下一层B111-B112号店铺, 前门大街1-1号",116.41,39.92,Beijing,Beijing
北京前门大街店,北京市,"崇文区, 方庄紫芳园四区3号楼",116.4,39.9,Beijing,Beijing
北京紫芳园咖啡店（方庄璞瑅）,北京市,"丰台区, 7号商铺, 上地三街9号",116.44,39.86,Beijing,Beijing
北京上地三街咖啡店,北京市,"海淀区, B座B-1号及B座首层玻璃间, 德胜门外大街83号",116.31,40.04,Beijing,Beijing
北京德外大街咖啡店,北京市,"西城区, 1层102号, 望京东园七区",116.38,39.96,Beijing,Beijing
北京望京东园二店,北京市,"朝阳区, 望京保利国际广场T1一层101单元, 羊坊店路18号",116.49,40.0,Beijing,Beijing
北京羊坊店路咖啡店,北京市,"光耀东方广场一层103单元, 海淀区, 丰台北路18号院",116.32,39.9,Beijing,Beijing
北京丽泽桥恒泰咖啡店,北京市,"丰台区, 恒泰广场一层L1-19-20, 东四环南路9号",116.31,39.87,Beijing,Beijing
